independent_pv
0.8748754
0.8686441
0.8462114
0.8110668
0.7654536
0.7071286
0.6343470
0.5523430
0.4670987
0.3835992
0.3065803
0.2365404
0.1794616
0.1321037
0.0912263
0.0613161
0.0438684
0.0348953
0.0284148
0.0226820
0.0171984
0.0122134
0.0079761
0.0042373
0.0014955
0.0002493
0.0000000
0.0000000
0.0000000
0.0000000
0.0000000
0.0000000
0.0000000
0.0004985
0.0024925
0.0064806
0.0089731
0.0169492
0.0269192
0.0396311
0.0550847
0.0755234
0.0979561
0.1141575
0.1333500
0.1577767
0.1936690
0.2328016
0.2799103
0.3165503
0.3606680
0.4060319
0.4454138
0.4693420
0.4830508
0.4912762
0.4885344
0.4661017
0.4297109
0.4132602
0.3791127
0.3334995
0.3115653
0.3160518
0.3202891
